time,x,y,v,w,yaw
115.299,0.508858,-0.00742362,6.57492663308259e-05,0.0,-0.000831187
115.699,0.50886,-0.00742362,8.370601303316374e-05,0.0,-0.000831187
115.999,0.50884,-0.00742361,4.7512722655794846e-05,0.0,-0.000831187
116.399,0.508839,-0.00742361,5.365492021499878e-05,0.0,-0.000831187
116.699,0.50886,-0.00742362,8.373121303710837e-05,0.0,-0.000831187
117.099,0.50884,-0.00742361,4.792332285160702e-05,0.0,-0.000831187
117.399,0.508839,-0.00742361,5.35799e-05,0.0,-0.000831187
117.799,0.508858,-0.00742362,6.59145e-05,0.0,-0.000831187
118.099,0.50884,-0.00742361,4.75838e-05,0.0,-0.000831187
118.499,0.50884,-0.00742361,4.7531622664849026e-05,0.0,-0.000831187
118.799,0.508858,-0.00742362,6.567681656439615e-05,0.0,-0.000831187
119.199,0.50886,-0.00742362,8.356351301098742e-05,0.0,-0.000831187
119.499,0.508839,-0.00742361,5.374092024744115e-05,0.0,-0.000831187
119.899,0.508858,-0.00742362,7.130451511139146e-05,0.0,-0.000831187
120.299,0.50886,-0.00742362,8.370601303316374e-05,0.0,-0.000831187
120.599,0.50884,-0.00742361,4.762182270787346e-05,0.0,-0.000831187
120.999,0.508839,-0.00742361,5.43067e-05,0.0,-0.000831187
121.299,0.50886,-0.00742362,8.395021307120159e-05,0.0,-0.000831187
121.699,0.50884,-0.00742361,5.3692520229218015e-05,0.0,-0.000831187
121.999,0.508839,-0.00742361,5.297141995758389e-05,0.0,-0.000831187
122.399,0.508858,-0.00742362,6.556511653624714e-05,0.0,-0.000831187
122.699,0.50884,-0.00742361,4.7678922735138244e-05,0.0,-0.000831187
123.099,0.50884,-0.00742361,4.75601e-05,0.0,-0.000831187
123.399,0.508858,-0.00742362,6.560451654619638e-05,0.0,-0.000831187
123.799,0.50888,-0.00742364,0.0002029400482170319,0.0,-0.000831187
124.099,0.50884,-0.00742361,5.951541816265104e-05,0.0,-0.000831187
124.499,0.50888,-0.00742364,0.00018468205278331093,0.0,-0.000831187
124.799,0.508858,-0.00742362,2.97517e-05,0.0,-0.000831187
125.199,0.508858,-0.00742362,4.776972277836485e-05,0.0,-0.000831187
125.599,0.50886,-0.00742362,7.135431512193122e-05,0.0,-0.000831187
125.899,0.50884,-0.00742361,5.96106181917233e-05,0.0,-0.000831187
126.299,0.508839,-0.00742361,5.9634572795810056e-05,0.0,-0.000831187
126.599,0.50886,-0.00742362,8.319691295394947e-05,0.0,-0.000831187
126.999,0.50888,-0.00742364,0.00020265608559984135,0.0,-0.000831187
127.299,0.508963,-0.00742371,0.000567379232146074,0.0,-0.000831187
127.699,0.508949,-0.0074237,0.0002668600643467129,0.0,-0.000831187
127.999,0.508968,-0.00742372,0.00029081213306840617,0.0,-0.000831187
128.399,0.508951,-0.0074237,8.910401208548529e-05,0.0,-0.000831187
128.699,0.508968,-0.00742372,0.00015460102791746902,0.0,-0.000831187
129.099,0.508952,-0.0074237,5.945191424612092e-06,0.0,-0.000831187
129.499,0.50897,-0.00742372,0.00010188804303654476,0.0,-0.000831187
